Country of Birth,Total,%,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gilbert Islands,19,0.00%,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,2,2,5,4,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Gold Coast,22,0.00%,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2,,,2,7,,,,,3,2,2,,,,,,,,,,,1,,,,,,,,
Great Britain,622,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,113,77,66,75,71,59,129,29,
Greece,1758,0.19%,15,6,5,10,6,4,3,12,14,32,18,21,16,20,19,7,20,11,34,27,53,22,31,91,55,47,30,64,85,160,83,83,94,40,22,40,18,36,23,25,22,24,18,12,10,8,19,16,9,5,11,7,10,6,7,1,3,8,6,9,4,6,2,7,3,5,7,18,16,28,27,22
Grenada,10,0.00%,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,2,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
Guam,16,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,1,1,,,,,,1,,,2,,,,1,1,,,,,1,,,,,1,1,,
Guatemala,53,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,1,2,1,1,,,,,,,,,1,1,,1,,5,3,,,,,3,,2,,1,4,1,5,,3,2,3,7,2
Guernsey,55,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,8,5,4,6,7,5,12
Guinea,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,1
Guyana,100,0.01%,,,,,,,,,,,,,,,,,,1,,5,2,1,3,1,,1,,1,6,9,12,3,3,2,,1,1,,,,2,4,2,,1,,,3,,,3,1,1,,,1,,4,,7,,1,3,1,3,2,3,1,1,2,2,
Haiti,10,0.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,1,,,,,,1,,,1,,1,,,,,,,,,,,,1,
Honduras,33,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,1,,,2,2,1,2,,,,,,,1,,,,,1,1,5,3,,,1,1,3,,1,1,,1,2,1
Hong Kong,16993,1.83%,22,,,,1,,1,4,1,8,3,6,1,7,10,25,22,27,18,22,12,23,28,44,29,36,38,37,107,113,104,88,61,81,64,70,95,101,134,169,178,171,282,581,1249,1379,1395,1118,1253,1418,1602,1273,745,546,256,261,223,166,173,133,86,65,78,70,80,92,75,100,103,106,99,25
Hong Kong (SAR),57,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
Hungary,2460,0.26%,3,9,2,2,6,17,23,27,54,38,8,17,18,163,147,71,103,71,83,54,89,22,24,42,42,20,21,21,27,67,20,23,14,25,11,4,6,13,18,18,12,12,13,6,16,17,15,33,12,25,29,21,15,18,16,24,26,32,35,19,26,17,34,35,33,53,67,80,95,69,74,38
Iceland,63,0.01%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,1,4,,2,,,3,1,1,,2,,,1,,,,,,2,1,1,2,5,2,4,7,5,2,4,3,2,2,1
India,70213,7.54%,320,21,28,17,25,50,24,79,45,63,57,92,83,80,105,63,115,77,123,132,149,107,91,151,152,124,132,133,171,309,226,239,189,208,178,162,103,109,177,155,195,226,221,376,533,638,470,497,520,897,1784,1854,1380,1358,1262,2138,2931,4362,5218,3431,2246,1570,1649,2274,2211,2214,2395,3339,4665,4845,4680,2970
Indonesia,4116,0.44%,4,2,14,10,15,9,10,49,72,72,82,68,44,25,36,42,40,21,37,53,19,20,17,28,23,19,45,25,35,86,28,26,22,26,31,11,21,16,10,19,27,36,19,13,31,37,21,32,40,45,90,108,74,108,94,97,149,139,166,160,159,101,108,128,114,105,85,112,116,173,113,84
Inner Mongolia,6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,
Iran,5002,0.54%,,,1,,,,,,,,,,,,,,,,4,,,2,,,,1,1,4,1,3,4,2,7,8,2,16,11,17,13,24,67,69,92,92,158,200,140,161,111,99,190,181,205,244,232,205,172,233,239,158,104,61,110,108,101,115,135,143,134,284,298,40
Iraq,10076,1.08%,2,,,,,,,,,,,,,,,,,,,,,,,2,,1,3,1,4,5,2,4,,1,4,2,7,2,2,1,59,26,18,18,117,166,101,71,261,476,1712,1054,534,434,511,523,479,747,503,237,128,83,121,104,264,259,151,137,294,231,127,87
Ireland,2121,0.23%,71,,4,3,4,6,4,1,7,12,15,9,9,6,6,6,2,4,3,2,6,3,1,3,2,5,5,1,5,,,12,23,,,,,,,,,,,1,,,,,,,,,5,33,26,36,15,25,32,54,38,52,79,105,135,122,133,136,231,203,241,179
Islamic Republic of Iran,124,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
Island of Jersey,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,
Isle of Man,275,0.03%,10,,,,,,,,1,,,,,,,,1,,,,,1,,,2,1,8,4,14,10,6,8,11,6,13,8,4,4,5,11,8,7,5,12,2,5,4,8,4,4,7,1,,5,1,3,1,3,1,5,2,5,5,4,5,4,3,5,9,10,5,4
Israel,1042,0.11%,,,,1,,,,,1,,,1,2,1,2,,1,,1,,1,1,3,2,2,1,2,,7,12,6,6,13,12,9,5,12,8,18,14,8,20,11,13,23,15,6,17,22,20,5,37,20,31,24,24,32,83,49,36,23,6,31,40,42,45,32,48,40,27,40,28
Italian Somaliland,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,1835,0.20%,30,22,24,10,18,8,17,8,21,42,24,39,41,19,30,13,13,16,18,21,27,19,10,19,10,8,12,23,13,41,29,29,22,24,14,18,13,14,11,19,18,6,15,2,12,15,20,14,16,39,68,22,37,23,31,21,15,19,31,17,15,17,25,39,44,44,49,69,59,74,76,74
Ivory Coast,11,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,1,1,,,,,1,,,1,,1,,,2,1,,,
Jamaica,233,0.03%,2,,1,,,1,,,,,,,,1,,1,4,,6,,6,,,1,,6,1,4,12,12,8,6,6,1,5,1,5,6,3,4,4,1,3,1,4,2,1,5,1,6,1,5,3,5,5,2,3,2,5,6,1,1,4,6,4,5,1,6,9,16,6,6
Japan,1211,0.13%,6,,1,,,,2,1,3,1,3,8,6,7,4,3,5,1,5,3,3,3,9,3,7,2,4,5,14,19,8,8,9,5,1,3,3,1,3,2,13,10,7,10,10,20,15,35,28,31,42,32,39,30,28,30,28,41,37,29,36,35,27,60,34,35,46,44,66,58,48,36
Jersey,49,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,15,9,,4,9,4,2
Jordan,759,0.08%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,2,,5,1,,2,1,1,1,7,12,2,3,14,16,50,53,52,27,27,17,23,73,56,19,3,4,12,21,26,35,31,29,25,25,36,44
Kampuchea,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,350,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,18,20,21,12,20,25,28,9,16,10,6,3,12,9,14,11,7,23,24,24,14
Kenya,2063,0.22%,3,,,,,,,,,,,,1,1,1,6,2,5,10,13,13,14,10,11,10,13,25,44,88,57,33,38,47,66,29,36,24,28,24,35,31,28,22,21,34,25,20,20,27,19,49,40,46,52,44,40,39,66,105,73,54,38,48,47,59,49,40,52,68,45,38,37
Kiribati,524,0.06%,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,1,,2,1,1,1,1,,,1,,,2,,1,3,1,1,1,3,1,2,,1,6,5,4,8,2,4,7,17,7,9,18,27,28,42,64,40,68,75,65
Korea,21098,2.27%,2,,,,,,,,,,,,,,,2,,,2,,,,,1,,1,,,1,6,10,2,8,5,2,12,5,11,21,6,8,14,11,20,44,97,190,665,1239,1079,2211,1958,1046,679,598,1085,1531,1648,1456,887,585,457,444,518,357,334,314,401,478,300,242,105
Kosovo,27,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,1,1,5,2,3,2,2,3,,
Kuwait,995,0.11%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,1,,2,1,2,,1,,1,,,1,1,1,2,8,9,7,10,28,44,102,55,92,63,48,69,57,74,51,21,17,22,20,22,18,11,16,18,28,27,28,14
Kyrgyz Republic,17,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,,1,1,4,1,,
Kyrgyzstan,59,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,7,7,3,3,,1,,6,1,2,4,2,4,4,1,7,2
Laos,1372,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,2,1,1,1,17,53,49,16,80,68,103,170,136,80,131,91,40,22,4,15,27,61,19,17,13,19,8,12,7,7,6,2,4,8,6,6,7,3,11,14,17,7
Latvia,595,0.06%,1,1,3,1,4,20,17,53,44,32,38,57,20,23,13,12,8,4,8,6,8,6,2,6,1,7,2,6,,6,2,5,1,3,2,,,3,,,,,,2,,1,1,,,,15,4,11,,9,6,1,7,4,2,3,1,3,10,7,7,13,13,13,10,12,15
Lebanon,803,0.09%,3,,3,6,4,1,2,3,1,7,3,2,2,,1,3,1,,3,4,11,,5,2,7,10,2,2,6,24,11,11,14,10,6,3,2,5,8,4,16,20,27,23,63,81,29,8,17,18,28,27,6,14,23,10,21,16,24,14,4,2,4,8,15,12,12,6,13,18,18,14
Lesotho,25,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,2,,,,,,,,,,,,1,,,,,,,,2,1,1,,,1,1,2,,,1,,1,1,,2,1,3,1
Liberia,61,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,4,,1,2,,1,4,6,7,5,5,,5,2,,,3,,,,1,2,2,2,2,,3,
Libya,188,0.02%,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,3,,1,1,3,5,1,2,1,2,1,2,,3,3,,4,,,1,1,4,24,19,9,14,5,6,10,2,5,5,2,7,3,2,4,3,6,3,4,3,4,6
Lithuania,251,0.03%,2,,,2,1,2,19,26,8,20,15,15,4,14,6,2,1,1,1,4,2,,3,3,,1,1,1,2,5,2,,2,,,1,1,,,,,1,,,1,,1,,,4,,2,1,2,2,3,7,,2,2,4,1,4,7,7,1,4,6,5,5,5,7
Luxembourg,29,0.00%,,1,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,1,,,,1,,,,1,,,1,1,,,1,1,,1,,,2,,,,,1,,,,2,1,2,,,1,1,,1,,1,2,1,1
Macao,379,0.04%,,,,,,,,,,,,,,,5,,5,,1,1,1,,4,2,2,1,1,1,2,1,,1,1,3,3,2,,6,4,3,2,2,8,14,35,31,27,32,25,34,36,21,22,14,5,7,6,2,2,,1,2,,,,,,,,1,,
Macau,39,0.00%,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,5,2,5,1,6,2,1,1,,,1,3,,1,,1
Macedonia,1371,0.15%,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,70,234,328,89,58,19,73,62,44,48,33,18,15,31,27,32,24,42,33,36,23,23,
Madagascar,34,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,1,,,,,,,1,1,1,1,,1,2,,1,4,2,1,3,1,,,,,2,1,,5,,2,,,
Malawi,214,0.02%,1,,,,,,,,,,,,,,,,,,,,,1,,,1,4,1,3,9,6,5,1,2,1,3,2,1,3,1,1,6,4,2,10,9,3,,5,,2,2,2,5,10,1,5,6,2,10,9,,4,8,6,12,10,2,6,10,4,10,3
Malaya,1811,0.19%,10,1,,,,,1,1,1,3,5,3,6,2,3,3,4,1,6,,2,,,,,,2,,,1,3,6,7,9,12,33,37,36,29,68,104,97,80,104,155,152,112,106,82,95,131,146,125,8,1,2,2,,2,1,3,3,1,2,,1,,,,,,1
Malaysia,10046,1.08%,12,,,,,,,,,,1,,1,,,2,,2,6,12,13,11,12,27,34,44,30,53,77,130,89,86,65,98,65,29,21,27,29,62,48,62,59,77,133,136,75,105,96,94,157,184,204,236,289,342,282,335,452,422,445,453,402,483,416,398,409,506,551,513,391,253
Maldives,64,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,1,,1,,,,,,,,2,,,1,3,1,5,3,3,8,,2,3,2,5,1,3,,3,8,5
Mali,6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,1,,,,,,,,,,,,,,1,,,
Malta,510,0.05%,6,,,,1,2,,2,7,,1,1,4,2,7,7,6,9,3,7,5,3,2,4,9,8,19,11,17,11,13,11,12,23,13,9,11,8,7,11,9,9,6,3,10,11,6,11,6,2,11,5,5,6,4,12,2,9,3,3,5,1,10,17,10,5,5,12,12,10,5,13
Marshall Islands,9,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,1,1,,1,,,,,1,1,,,
Martinique,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,
Mauritania,9,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,4,1,1,,,,,
Mauritius,595,0.06%,,,,,,,,1,,,,,,,1,,1,8,5,9,11,1,1,9,4,3,3,8,9,2,3,5,3,1,5,2,3,1,3,1,10,3,7,2,2,4,1,1,5,3,5,5,4,7,6,3,16,13,9,13,8,1,25,42,52,36,50,44,32,21,17,45
Mexico,529,0.06%,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,3,1,,1,1,1,5,2,4,4,3,1,1,,1,2,2,1,3,4,1,10,4,11,11,12,25,9,16,17,13,6,17,19,11,2,17,25,20,17,20,42,37,57,64,2
Micronesia,5,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Moldova,113,0.01%,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,7,,5,1,1,5,12,8,7,6,2,4,8,5,4,4,4,5,6,4,6,3
Mongolia,36,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,4,3,,1,4,,2,2,1,5,1,2,3,1,3,1
Montenegro,16,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,5,,,3,1,1,,1,,,1,
Montserrat,7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6
Morocco,267,0.03%,1,,,,,,,,,,2,,2,,,,,,,2,1,,,1,,,,,,3,1,4,2,3,1,3,2,4,3,5,4,5,6,2,3,2,6,6,6,6,16,8,11,6,10,15,7,9,9,12,4,2,4,8,6,11,4,8,7,12,9,3
Mozambique,217,0.02%,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,2,,,2,1,,2,1,1,3,1,,,4,4,,2,1,3,1,5,2,2,5,,2,3,3,1,3,5,3,,8,5,3,6,6,3,3,3,4,110
Myanmar,1913,0.21%,,,3,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,6,22,23,66,63,35,34,21,10,13,150,206,175,133,147,178,213,234,158,11
Namibia,465,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,,,1,,1,,2,5,8,24,25,26,32,21,35,24,15,18,9,19,33,20,23,19,26,24,26,19,5
Nauru,183,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,1,1,2,1,,,,,1,,,,1,1,,1,1,1,2,4,2,1,,4,3,4,3,5,3,9,5,3,5,3,1,7,6,19,8,16,54
Nepal,1227,0.13%,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,2,1,2,1,1,,,1,,1,,,5,2,5,3,5,3,4,6,17,53,64,56,33,24,22,35,37,30,27,17,19,23,45,74,92,74,80,127,127,98,7
Netherlands Antilles,57,0.01%,,,,,,,1,,,,1,1,2,1,3,,2,1,,1,1,2,2,2,1,1,1,1,1,2,,1,,1,,,,1,2,1,2,1,,,,,,,3,,,1,,,,1,1,,4,,4,,,1,1,,,5,,,,
Netherlands East Indies,99,0.01%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,8,2,1,2,9,9,6,9,7,4,11,10,7,,1,1,,,,,,,,,,,,,,,,
Netherlands New Guinea,3,0.00%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
New Caledonia,162,0.02%,,,,,,2,,1,1,,1,1,,,,,1,,,,,,,,,,,1,3,8,1,2,1,3,4,6,1,,11,3,4,13,1,3,5,5,3,2,,4,2,4,4,,2,3,,4,3,1,2,3,2,5,,6,5,,4,8,13,
New Guinea,32,0.00%,1,,,,,,,,,1,1,,,,,,,,1,,,,3,3,,,1,2,1,1,,,2,,2,3,2,2,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,
New Hebrides,46,0.00%,3,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,2,1,2,4,3,,3,2,2,3,2,3,1,,,1,1,,,,4,2,1,,1,,1,1,,,,,,,,,,,,,,,
New Zealand,2524,0.27%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,2,1,1,2,1,3,3,,,1,,1,6,2,8,13,18,88,142,203,226,320,373,437,406,261
Nicaragua,19,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,1,,,,,,,,1,,,5,,1,,1,,1,1,,,1,1,1
Nigeria,818,0.09%,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,2,1,9,8,8,4,4,12,1,2,6,5,6,3,4,7,2,4,5,12,7,7,14,18,33,27,31,24,28,30,31,39,34,30,23,6,28,27,42,33,36,26,46,29,34,26
Niue,1,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,35,0.00%,16,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,1,1,2,,1,,1,,1,,,,,,,,,,,,,,,,,,1,2,,1,,,,1,,,2,,1,,
North Borneo,81,0.01%,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1,1,1,,2,1,1,4,1,4,5,2,6,,3,8,11,,4,,3,9,4,6,1,,,,,,,,,,,,,,,,,,
North Korea,10,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,,,,2,,1,,,,,,,1
North Macedonia,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
North Vietnam,118,0.01%,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,1,,,,,1,,3,,,,,,,,,,,,1,,10,14,6,3,16,23,31,5,,,,,,,,,,,,,,,,,,
Northern Ireland,5127,0.55%,269,1,1,7,3,1,8,1,13,8,12,4,10,6,2,5,8,2,9,2,10,6,4,11,23,55,73,81,220,196,74,104,129,274,123,140,139,151,174,249,189,146,158,92,110,76,82,89,65,83,94,84,72,37,52,49,48,43,61,49,49,52,58,75,81,62,57,81,81,96,81,67
Northern Mariana Islands,20,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,1,1,3,1,1,,4,4,1,,,,,,
Northern Rhodesia,357,0.04%,1,,,,,,2,,,,,,,,,4,,3,1,1,,1,2,,,2,,,3,,2,1,6,19,3,8,8,8,7,14,12,8,9,11,13,6,4,16,24,14,21,34,23,10,3,2,5,7,7,8,3,3,3,1,1,2,2,3,2,1,2,1
Norway,266,0.03%,3,6,11,1,2,9,9,5,10,6,6,8,1,3,4,6,9,,4,7,5,,4,5,1,4,,5,,7,2,3,7,2,2,,2,3,,8,2,2,2,3,1,3,3,1,5,7,4,2,3,3,4,4,3,4,2,1,1,,2,2,5,3,4,6,,2,4,8
Nyasaland,35,0.00%,1,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,3,1,1,1,,1,3,2,,1,3,3,2,,,1,3,1,2,,,1,,,,1,,,,,,,,,,,,,
Oman,231,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,2,2,2,1,2,,7,10,12,6,4,5,9,16,23,23,20,12,4,8,4,9,5,10,4,3,8,9,6
Ottoman Empire,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Pakistan,5724,0.62%,9,,2,,1,1,2,1,8,2,3,5,1,2,1,3,,,7,1,3,2,5,5,6,4,12,9,19,20,13,9,14,12,9,5,9,13,7,8,14,19,18,44,62,51,61,72,101,148,347,473,171,168,134,159,261,251,297,169,89,49,46,115,143,156,155,194,199,363,538,424
Palau,3,0.00%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
Palestine,150,0.02%,6,1,,,1,2,,,,,,1,1,,,,1,,,2,,1,,,,,,2,2,,1,1,2,1,,2,,,2,1,,1,,,3,2,,6,6,5,12,2,10,12,3,5,1,1,1,1,1,,,,,1,3,3,11,12,13,5
Palestinian Administered Area,53,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,7,6,1,1,,1,3,4,2,12,5,1,,,
Panama,41,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,1,,,1,1,1,,,,1,1,,,1,2,2,2,1,3,1,,1,3,,,,1,1,1,1,1,2,,,,1,4,2,
Panama Canal Zone,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Papua New Guinea,509,0.05%,4,,,,,,,,,,,,,,,,,,,,2,,1,,2,2,1,1,2,9,13,17,8,5,8,11,4,5,10,7,12,15,9,6,10,11,8,5,3,10,4,6,5,13,9,17,13,14,15,9,5,15,12,12,22,17,11,22,24,30,21,12
Paraguay,35,0.00%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,1,,3,1,1,1,,2,,,1,,2,,,1,,,,,,1,,2,,6,1,1,2,1
Persia,9,0.00%,1,,,,,1,,,1,2,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,751,0.08%,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,1,,2,1,6,4,7,4,,3,5,,,4,3,13,4,5,7,21,37,22,39,28,42,36,30,26,19,13,36,15,28,23,14,7,10,24,27,20,28,23,24,24,22,24,16
Philippines,40523,4.35%,3,,,,,,,,,,,,,,,,,,,3,1,,1,3,3,6,6,7,9,31,23,38,39,71,56,81,108,132,152,217,291,307,304,327,681,635,319,409,327,404,1007,952,841,658,557,706,846,1139,1171,718,697,848,663,2218,2785,2714,2988,3016,3565,3079,2555,1806
Pitcairn Island,61,0.01%,17,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,5,1,,1,1,,1,4,3,5,,2,1,,1,,2,,,1,2,1,,,1,,1,1,,2,1,,,2,,,,,1,
Poland,3831,0.41%,19,27,16,24,24,57,49,67,90,79,94,117,89,78,71,33,92,54,63,52,64,32,38,54,47,35,27,47,37,81,45,17,22,26,20,22,121,142,79,77,64,55,45,51,92,90,25,57,49,55,90,59,64,44,35,35,52,44,51,33,30,18,41,28,41,44,42,43,63,59,63,41
Portugal,232,0.02%,,,,,,,,,,6,,4,1,1,2,1,1,,,1,,,,1,1,1,,,,2,3,5,1,3,2,4,1,6,1,1,2,2,1,4,2,2,2,3,6,,6,5,3,2,5,3,10,2,6,5,3,3,8,3,13,10,5,8,10,9,19,21
Portuguese East Africa,2,0.00%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
